id	name	width	height	ports	placeable	pseudo	flippable	alternate_sprite
1	VALVE	1	1	Input0,Output0	True	False	True	False
2	DEMUX	1	2	Input1,Output0,Output1	True	False	True	False
3	MUX	1	2	Input0,Input1,Output1	True	False	True	False
4	SENSE	1	1	Input0,Output0	True	False	True	False
5	BUFFER	2	3	Input1,Output1	True	False	False	False
6	???	1	1	Output0	False	True	False	False
7	???	1	1	Input0	False	True	False	False
8	PIPE	1	1	Input0,Output0	True	False	False	False
9	NEGATE	2	3	Input1,Output1	True	False	False	True
10	DELAY	1	1	Input0,Output0	True	False	True	False
11	MIXER	2	3	Input0,Input2,Output1	True	False	False	True
12	???	1	2	Input0,Output0,Output1	True	False	True	False
13	???	1	2	Input0,Input1,Output0	True	False	True	False
14	TOGGLE	1	3	Input1,Output0,Output2	True	False	False	False
15	RED	1	1	Input0,Output0	True	False	True	False
16	GREEN	1	1	Input0,Output0	True	False	True	False
17	CLEAN	2	3	Input1,Output1	True	False	False	False
18	XLATE	2	3	Input1,Output1	True	False	False	True
