id	location	title	unlock_value	available_tools	aux_tools	objectives	briefing	meditation
1	J9 Takka	Infected Transfer Station	8	11:MIXER		When the *dextro* signal is on, route *❶dextro❶* to *dose*. || When the *levo* signal is on, route *❷levo❷* to *dose*. || When the *mixed* signal is on, use the *mixer* to combine *❶dextro❶* and *❷levo❷* and route the *❸mixture❸* to *dose*.	A harmful infectious agent is present in species populating the transfer station at J9 Takka. Before the Renunciants can enter this station, special targeted medicines must be distributed to each appropriate species type depending on their chirality.	The *❶dextro❶* species requires *❶dextro❶* medicine. The *❷levo❷* species requires *❷levo❷* medicine. Reflect how medicine must be appropriate not only to the disease, but also the patient.
2	Kita Oriens	Nonrepeating Crystal Field	25	10:DELAY		When the *north*, *east*, *south*, or *west* signal turns on, use the *❶prāna❶* supply to ping the corresponding *❶site❶* for a single cycle.	This area is known to harbor rare nonrepeating crystals. These objects are highly valued for contemplation. Recover nonrepeating crystals for the Renunciants by perceiving signals from the four directions and pinging them when they are perceived.	Observe in detail the form of a nonrepeating crystal.
3	Nalanda-1	The Library Planet	19	5:BUFFER		Use *buffers* to stream all incoming data to the *archive*, prioritizing *❶text❶* over *❷notes❷* and *❷notes❷* over the *❸index❸*.	We have arrived at Nalanda-1, the great library planet. The Renunciants wish to pay homage by mirroring its contents. Because of the large amount of data, the data stream should be managed carefully so that the most important information is prioritized.	When serially arranged symbols are reproduced as a *❶text❶*, is the original meaning being propagated? Or is something lost?
4	U.V.S. Nayuta	Sister Ship of the U.V.S. Nirmana	28			Activate the *form* signal when only *❶form❶* is present. || Activate the *mind* signal when only *❷mind❷* is present. || Activate the *both* signal when both *❶form❶* and *❷mind❷* are present.	We have encountered our sister ship U.V.S. Nayuta drifting in deep space and have determined that its deep navigator has malfunctioned, with form and mind becoming disconnected. Reconnect its sense-fields, from raw sensation to receiver and interpreter.	What are the distinctions between *❶form❶*, *❷mind❷*, and the combination of *❶form❶* and *❷mind❷*?
5	Maha Talakan	Cultural Exchange Nexus	5	10:DELAY		When the *dose* signal is on, dispense *❸drugs❸* to the different regions of the ambassador's *❸brain❸* as indicated.	The Sleeping Ambassador has remained dormant for most of the life of the universe inside a special chamber on this ship. We have now reached his destination and it is time to awaken him. The drugs used for this purpose must be introduced to his brain gradually.	The Sleeping Ambassador will fulfill his purpose after many eons. Did the potential for action reside within him, or was it given to him by an outside force?
6	Tamra Occidens	Negated Civilization	22	9:NEGATE		Use the *negation engine* to change *❶form❶* into *❷mind❷* and *❷mind❷* into *❶form❶*.	This area of space contained a large negation engine that was turned upon itself, negating its own negations. To negate this, reverse two common attributes of matter so that the tetralemma can be reinstated and causal existence is once again established.	The negation of non-negation is not enough to establish existence. Why is this so?
7	Kamarupa	The Dream-Reality Realm	16	5:BUFFER		Use *buffers* to balance between beliefs in the importance of *❶wealth❶*, *❷fame❷*, or *❸power❸*, releasing them only when all three are present.	We have entered the Dream-Reality realm, where consciousness creates reality. However, the inhabitants of this area fiercely disagree on the goal of existence, causing our ship's sense-fields to become distorted. Balance the major ideologies so a single one does not dominate.	Concentrate on methods to purify the sense-fields so that teleological perceptions do not result in inaccurate navigational data.
8	Atali-4	Alien Mining Colony	18	14:TOGGLE		Use the *❶prāna❶* and *❷apāna❷* supplies to create both *❶near❶* and *❷far❷* field pulse-waves.	Small parasitic organisms originating from the mines of Atali-4 were drawn to the U.V.S. Nirmana's vega drive engines and have eaten away at the substrate, slowing the ship's journey. Direct pulses at the correct frequency to shake off these organisms.	Reflect how the progress of the Renunciants may be affected by external factors, and how the judicious use of *❶prāna❶* can be employed to correct course.
9	B7 Mimohe	Abandoned Transfer Station	24		2:DEMUX, 3:MUX	Use the *❶prāna❶* supply to amplify the prāna *❶trace❶* into *❶form❶*.	We are at Mimohe transfer station. It appears to be empty, but the Renunciants are able to perceive the faint traces of mindforms that used to be present here and which, over time, have dissipated. Recreate these mindforms in order to repopulate the facility.	Consider how *❶form❶* can be created by *❶prāna❶* and what that implies about *❶form❶*.
10	Gostana-1	Ruins of a Lost Civilization	29	15:RED, 10:DELAY		Using the *sense* input, detect *❷alpha❷* and *❸beta❸* radiation. || Activate the *alpha*, *alpha'*, and *alpha''* signals when *❷alpha❷* radiation is present for at least one, two, and three cycles respectively. || Activate the *beta*, *beta'*, and *beta''* signals when *❸beta❸* radiation is present for at least one, two, and three cycles respectively.	The Renunciants have detected traces of ancient thought constructs in this area encoded into different values of radioactivity across large metal lattice structures. In order to document these thought constructs for later study, convert the constructs into an abstract symbolic code.	Is radiation the result of *❷alpha❷* and *❸beta❸* decay, or is decay the result of *❷alpha❷* and *❸beta❸* radiation?
11	Udyana-3	Home of the Eternal Society	17	5:BUFFER		Use *buffers* to store *❸solar❸* power. || When the *inner* signal is on, energize the *❸inner❸* shield. || When the *outer* signal is on, energize the *❸outer❸* shield.	The Eternal Society abides in an ever-repeating cycle of time. Though the shield that protects it decays over outside time, passing ships rebuild it so it can remain undisturbed. The Renunciants request we participate in the ritual by contributing our own repair of the shield.	Consider how it is possible that a cycle of time designed to be infinite in length can be instantiated inside of a universe with demonstrably finite time.
